location,room_type,bed_type,room_size,ac,attached_bath,parking,kitchen,power_backup,wifi,tv,fridge,wardrobe,study_table,balcony,furnished,rent
Mg Road,Quad,Single Bed,350.0,1,1,0,0,1,0,1,0,1,1,0,Fully,39845
Kakkanad,Single,No Bed,121.0,1,1,1,0,1,1,0,0,1,0,0,Fully,16899
Kochi,Single,Bunk Bed,96.0,0,0,0,1,0,0,1,0,0,1,0,Unfurnished,11932
Vyttila,Master,No Bed,183.0,0,0,0,0,1,1,0,1,1,0,0,Fully,24587
Kalamassery,Double,Bunk Bed,229.0,0,1,1,1,1,0,1,1,1,1,1,Fully,21698
Changanassery,Double,Single Bed,202.0,1,0,0,1,0,1,1,1,0,1,0,Unfurnished,16657
Changanassery,Triple,Single Bed,317.0,0,0,1,1,1,0,0,0,1,0,0,Unfurnished,19371
Edappally,Quad,Queen Bed,543.0,1,0,1,0,0,0,0,0,1,1,1,Semi,42053
Kannur,Master,King Bed,299.0,1,0,0,1,0,1,1,0,1,0,0,Semi,25309
Changanassery,Triple,No Bed,294.0,0,1,0,0,0,1,0,1,0,0,1,Semi,19143
Pathanamthitta,Quad,No Bed,409.0,1,0,1,1,0,0,1,1,1,0,0,Unfurnished,20703
Karukachal,Triple,Double Bed,314.0,0,1,1,1,0,1,1,1,0,0,0,Semi,19008
Edappally,Triple,Queen Bed,266.0,0,0,1,0,1,1,0,0,1,0,0,Semi,29867
Bangalore,Studio,Double Bed,228.0,0,1,0,0,1,1,1,0,0,1,1,Fully,44198
Delhi,Studio,No Bed,277.0,1,0,0,0,0,1,1,1,0,1,0,Unfurnished,36597
Edappally,Master,No Bed,299.0,1,0,1,0,0,1,1,0,0,1,0,Fully,26462
Surat,Double,Queen Bed,154.0,0,0,0,1,1,0,1,1,1,0,0,Unfurnished,20338
Pathanamthitta,Studio,Double Bed,216.0,1,1,0,0,1,1,1,1,0,1,1,Unfurnished,19288
Aluva,Single,Queen Bed,107.0,1,0,0,0,1,1,1,0,0,0,1,Fully,16978
Vyttila,Master,Queen Bed,298.0,0,1,0,1,0,0,1,0,0,0,1,Unfurnished,24588
Alappuzha,Triple,King Bed,368.0,1,1,1,1,0,0,0,0,0,0,1,Semi,27302
Surat,Quad,Queen Bed,369.0,0,1,1,0,0,1,0,1,0,0,1,Fully,39518
Kozhikode,Triple,Queen Bed,296.0,1,1,1,0,0,1,1,0,1,0,1,Fully,28768
